TABLE NO.  1
 DV          PRED        RES         WRES
  7.2906E+00  7.9842E+00 -6.9361E-01 -7.3912E-01
  6.7296E+00  5.1461E+00  1.5835E+00  6.9904E-01
  4.1679E+00  3.3707E+00  7.9716E-01 -9.4057E-02
  2.2532E+00  2.6179E+00 -3.6469E-01 -2.1526E+00
  3.0665E+00  2.4120E+00  6.5451E-01 -3.6534E-02
  2.4752E+00  2.2590E+00  2.1616E-01 -9.5479E-01
  3.4520E+00  2.2591E+00  1.1929E+00  1.2443E+00
  3.0972E+00  1.6638E+00  1.4334E+00  2.6411E+00
  1.4602E+00  1.2261E+00  2.3406E-01 -7.1048E-01
  1.4452E+00  9.0362E-01  5.4158E-01  1.0561E+00
  9.0979E+01  9.9698E+01 -8.7193E+00  5.4050E-01
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  5.2216E+00  5.1520E+00  6.9581E-02 -5.5040E-01
  1.7376E+00  2.4552E+00 -7.1757E-01 -1.1036E+00
  9.7424E-01  9.7116E-01  3.0780E-03  2.7605E-01
  8.0499E-01  4.3698E-01  3.6801E-01  2.2388E+00
  6.6796E-01  3.3042E-01  3.3754E-01  1.6939E+00
  6.5045E-01  2.8529E-01  3.6516E-01  2.8620E+00
  1.0665E+00  1.1745E+00 -1.0803E-01 -9.0320E-01
  8.5020E+01  9.8701E+01 -1.3681E+01 -3.4709E-01
  1.6551E+00  1.2011E+00  4.5400E-01  1.6736E+00
  1.0505E+00  1.2017E+00 -1.5120E-01 -8.3224E-01
  7.9998E+01  9.8658E+01 -1.8660E+01 -1.2606E+00
  1.2647E+00  1.2017E+00  6.2982E-02  5.7823E-02
  8.6454E+01  9.8658E+01 -1.2204E+01 -7.5757E-02
  7.8167E+00  6.3266E+00  1.4901E+00  7.4450E-01
  2.6417E+00  3.5906E+00 -9.4888E-01 -1.1739E+00
  2.3882E+00  2.0688E+00  3.1943E-01  9.6999E-01
  2.0140E+00  1.4862E+00  5.2782E-01  1.5067E+00
  1.1552E+00  1.3334E+00 -1.7815E-01 -1.0618E+00
  1.1759E+00  1.2017E+00 -2.5818E-02 -3.1104E-01
  1.0185E+00  1.2017E+00 -1.8322E-01 -9.6487E-01
  2.8098E-01  6.9918E-01 -4.1820E-01 -1.4281E+00
  8.1678E-02  4.0697E-01 -3.2530E-01 -4.2829E-01
  2.9083E-02  2.3689E-01 -2.0781E-01  1.0307E+00
  1.0804E+02  9.9698E+01  8.3417E+00 -7.6028E-01
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.4871E+00  4.6574E+00 -1.1703E+00 -2.4131E-01
  2.8717E+00  3.2118E+00 -3.4015E-01 -4.2374E-01
  1.5228E+00  1.7615E+00 -2.3867E-01 -5.0162E-01
  5.7009E-01  8.8051E-01 -3.1042E-01 -9.9520E-01
  4.0758E-01  5.6187E-01 -1.5429E-01  1.8268E-02
  2.8845E-01  3.9923E-01 -1.1078E-01  3.2132E-01
  1.2589E+00  2.6273E+00 -1.3684E+00 -3.2989E-01
  1.2634E+00  3.0503E+00 -1.7869E+00 -3.3623E-01
  1.1546E+02  9.4278E+01  2.1182E+01  1.0245E+00
  1.2798E+00  3.1190E+00 -1.8392E+00 -2.5518E-01
  1.1212E+02  9.4075E+01  1.8045E+01  4.0210E-01
  9.7136E-01  3.1294E+00 -2.1581E+00 -7.4516E-01
  1.1354E+02  9.4043E+01  1.9497E+01  6.5900E-01
  4.1513E+00  7.7452E+00 -3.5939E+00 -7.8145E-01
  4.8085E+00  6.2435E+00 -1.4350E+00  2.1081E-01
  2.9239E+00  4.7414E+00 -1.8175E+00 -1.6484E-01
  1.4161E+00  3.7951E+00 -2.3790E+00 -8.7356E-01
  2.2433E+00  3.4135E+00 -1.1702E+00  8.7825E-01
  1.4098E+00  3.1298E+00 -1.7200E+00 -2.5176E-02
  1.3262E+00  3.1301E+00 -1.8039E+00 -1.6171E-01
  1.0389E+00  2.3984E+00 -1.3595E+00  2.7921E-01
  3.9612E-01  1.8496E+00 -1.4535E+00 -4.1656E-01
  3.5707E-01  1.4264E+00 -1.0694E+00  9.4913E-02
  9.0762E+01  9.9698E+01 -8.9363E+00  5.4266E-01
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.0747E+00  3.6051E+00 -5.3037E-01 -3.5005E-01
  1.9781E+00  2.1670E+00 -1.8894E-01 -4.7770E-01
  1.1442E+00  1.0032E+00  1.4097E-01  6.7575E-01
  4.4123E-01  3.9958E-01  4.1647E-02  7.0293E-01
  2.0297E-01  2.1963E-01 -1.6655E-02  2.2126E-02
  1.1134E-01  1.4588E-01 -3.4537E-02 -6.7515E-01
  5.8684E-01  7.3859E-01 -1.5175E-01 -1.7841E-01
  7.7418E+01  9.9276E+01 -2.1858E+01 -1.8311E+00
  6.0441E-01  7.8470E-01 -1.8029E-01 -2.1903E-01
  8.7525E+01  9.9226E+01 -1.1701E+01  3.3291E-02
  5.9080E-01  7.8760E-01 -1.9680E-01 -3.0852E-01
  6.3402E-01  7.8777E-01 -1.5375E-01 -3.7117E-02
  8.7872E+01  9.9222E+01 -1.1350E+01  9.7658E-02
  4.1845E+00  4.3774E+00 -1.9293E-01  2.1411E-01
  2.6861E+00  2.9188E+00 -2.3269E-01 -2.3145E-01
  1.7151E+00  1.7360E+00 -2.0854E-02  2.8433E-01
  9.1446E-01  1.1083E+00 -1.9380E-01 -2.1001E-01
  7.1806E-01  9.0526E-01 -1.8720E-01 -1.8753E-01
  6.0193E-01  7.8778E-01 -1.8585E-01 -2.3854E-01
  5.7976E-01  7.8778E-01 -2.0802E-01 -3.7769E-01
  4.0318E-01  5.2682E-01 -1.2364E-01  3.4834E-02
  1.6110E-01  3.5486E-01 -1.9376E-01 -1.0856E+00
  1.6124E-01  2.3903E-01 -7.7790E-02  1.4137E-01
  7.7229E+01  9.9698E+01 -2.2469E+01 -1.3147E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  5.4602E+00  6.8372E+00 -1.3770E+00 -1.1371E+00
  1.4872E+00  2.8190E+00 -1.3318E+00 -1.8828E+00
  8.6540E-01  1.0543E+00 -1.8893E-01  7.5758E-02
  5.4457E-01  5.5075E-01 -6.1787E-03  4.5581E-01
  4.7144E-01  4.7239E-01 -9.5463E-04  2.2699E-01
  3.1209E-01  4.3431E-01 -1.2222E-01 -1.2429E+00
  1.9945E+00  2.2643E+00 -2.6980E-01  4.2851E-02
  7.3703E+01  9.6440E+01 -2.2737E+01 -1.4335E+00
  2.9284E+00  2.4055E+00  5.2295E-01  1.8605E+00
  8.2855E+01  9.6079E+01 -1.3224E+01  2.9659E-01
  2.8259E+00  2.4143E+00  4.1165E-01  1.6302E+00
  8.6538E+01  9.6056E+01 -9.5177E+00  9.7516E-01
  1.7063E+00  2.4148E+00 -7.0848E-01 -7.2786E-01
  9.7757E+00  9.2124E+00  5.6333E-01  5.0176E-01
  4.2535E+00  5.1360E+00 -8.8252E-01 -2.8801E-01
  2.8437E+00  3.3146E+00 -4.7091E-01  5.9561E-02
  2.5077E+00  2.7376E+00 -2.2987E-01  3.1066E-01
  1.6405E+00  2.5882E+00 -9.4765E-01 -1.1460E+00
  1.7923E+00  2.4148E+00 -6.2249E-01 -5.4675E-01
  1.6464E+00  2.4148E+00 -7.6840E-01 -8.5396E-01
  1.0421E+00  1.6244E+00 -5.8228E-01 -7.3703E-01
  8.1141E-01  1.0927E+00 -2.8132E-01  8.6778E-03
  5.2248E-01  7.3509E-01 -2.1261E-01  9.7902E-02
  8.6620E+01  9.9698E+01 -1.3078E+01  1.1030E-01
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  6.6360E+00  5.9122E+00  7.2380E-01  2.2563E-01
  6.4809E+00  3.5802E+00  2.9007E+00  3.5334E+00
  3.4959E+00  1.7944E+00  1.7015E+00  3.1970E+00
  1.5467E+00  9.2781E-01  6.1889E-01  1.2023E+00
  1.1615E+00  6.8690E-01  4.7460E-01  1.5671E+00
  7.9288E-01  5.8483E-01  2.0805E-01 -3.3718E-02
  6.2190E+00  3.7445E+00  2.4745E+00  9.0634E-02
  6.7991E+01  9.2142E+01 -2.4151E+01 -9.6421E-01
  7.7152E+00  4.2396E+00  3.4756E+00  2.5568E-01
  7.1789E+01  9.0546E+01 -1.8757E+01  4.2702E-01
  9.0913E+00  4.3051E+00  4.7862E+00  1.5995E+00
  7.7798E+00  4.3133E+00  3.4665E+00 -2.3917E-02
  6.2465E+01  9.0306E+01 -2.7841E+01 -1.1399E+00
  1.8535E+01  1.0171E+01  8.3636E+00  2.4018E+00
  1.4282E+01  7.7615E+00  6.5205E+00  1.9884E+00
  9.9229E+00  5.9004E+00  4.0225E+00  2.5707E-01
  8.6219E+00  4.9359E+00  3.6860E+00  4.3383E-02
  7.4972E+00  4.5996E+00  2.8976E+00 -7.5154E-01
  8.0518E+00  4.3136E+00  3.7382E+00  2.9998E-01
  6.8504E+00  4.3138E+00  2.5366E+00 -1.1390E+00
  6.2894E+00  3.2276E+00  3.0618E+00 -2.0312E-01
  4.9825E+00  2.4179E+00  2.5646E+00 -5.1042E-01
  5.0497E+00  1.8113E+00  3.2384E+00  1.9443E+00
  1.7001E+02  9.9698E+01  7.0312E+01  3.4301E+00
  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.9548E+00  7.4848E+00 -3.5300E+00 -1.8417E+00
  3.1510E+00  3.1415E+00  9.5191E-03 -9.8925E-01
  1.4063E+00  1.2401E+00  1.6619E-01 -4.8367E-01
  8.4844E-01  7.0030E-01  1.4814E-01  1.0284E+00
  5.9542E-01  6.1596E-01 -2.0540E-02  1.1063E-01
  4.9155E-01  5.7293E-01 -8.1379E-02 -3.9775E-01
  3.3954E+00  3.2720E+00  1.2341E-01  5.6180E-01
  1.5017E+02  9.3614E+01  5.6556E+01  7.5446E-01
  4.0867E+00  3.5580E+00  5.2869E-01  1.1094E+00
  1.4327E+02  9.2731E+01  5.0539E+01 -4.0119E-01
  4.0627E+00  3.5830E+00  4.7969E-01  1.0273E+00
